4953971537,65.93,37
0565650033,39.21,68
6825965838,28.1,84
4311910872,94.16,85
5383809206,15.82,29
8441985055,69.55,41
3277700994,40.03,88
4767661539,10.85,54
0105709580,42.45,58
2933631349,1.97,85
1900431205,39.84,27
8140889847,60.38,5
1585563660,17.43,37
1684374008,93.49,44
6720577042,81.16,71
6479023180,54.23,1
7366604572,72.83,64
9713425558,62.21,40
8544729214,49.7,66
2126413124,11.65,58
8932923880,36.39,95
1084620954,13.81,25
6952442596,84.47,6
8885905113,98.24,100
9155837826,48.16,28
6963529661,33.82,95
6118420093,27.15,10
2947115611,71.65,73
6213143116,16.25,83
0425448367,10.47,9
1684506826,36.27,58
7132743837,40.91,69
2864532292,46.36,9
0380736480,86.18,36
0697464150,59.38,75
0380509899,10.06,21
5717136165,52.69,36
9210634198,82.81,82
2408844706,31.67,46
3675338211,28.36,79
9764123099,59.41,4
6560508249,54.31,6
0023845837,14.6,6
9777881998,83.76,54
7139374717,78.25,40
2947643560,38.05,24
2514374992,49.0,54
4051285413,89.84,3
3536399499,92.42,30
7762468697,41.76,78
8379385577,58.06,87
2248098893,41.1,40
2581963312,4.94,20
1846961841,43.18,1
4744440414,70.2,86
1403818825,63.12,88
6454140207,71.24,61
4362660845,44.53,43
6434136344,90.57,27
4686349585,4.55,58
8580529074,95.97,24
2900057682,56.41,75
8177975676,5.98,62
4736375647,22.42,53
2039446419,87.07,33
8484876616,65.65,18
4103074777,15.83,29
6722252369,73.38,94
6783996299,69.96,86
2293355404,38.57,78
0526966121,58.05,33
6044079833,27.06,48
5611793831,16.92,14
2586327124,6.89,22
3528942875,88.06,1
0984974302,21.79,6
7120668267,89.16,45
9882121149,94.29,31
9812227766,49.0,35
4768463862,51.46,70
0686896502,50.56,2
7584189431,55.94,91
0220877371,35.89,16
6675807591,48.12,9
6911924622,38.19,64
3338155338,69.74,71
6235655940,57.09,80
0704958500,76.66,3
6822135920,69.09,18
7825247616,78.75,55
5679004357,56.61,46
7980989014,57.52,35
6292546529,94.07,8
9436379929,3.27,37
3208655711,78.54,67
4670735248,53.52,6
5799728732,98.88,27
0847494636,18.47,42
7734336444,68.41,34
2570814001,24.89,93
3646278516,47.19,10
6245743063,28.51,26
4531275085,41.77,89
5639960253,51.09,92
3024598099,40.25,67
2237327214,23.64,41
9388620403,80.53,10
2428253243,48.4,31
8567000292,41.41,8
5577471018,56.9,38
0371114855,88.96,70
9995866563,37.64,72
1235975005,37.82,92
8840733403,6.74,50
6545893038,9.26,31
8100751943,87.5,54
0244368780,65.03,62
9994586965,47.25,60
0064801270,53.6,51
6298171148,48.45,41
3807434726,74.55,12
9436491221,49.55,86
9279393890,82.9,52
1993147392,27.53,48
8177417753,39.15,45
8202840041,2.56,1
9433736156,52.54,9
8718593255,21.11,55
2886251673,96.78,20
2222715515,17.01,42
7332147159,85.71,69
5224848665,68.33,11
1537861879,8.47,43
0615830012,59.16,79
6096523883,26.23,66
9822812290,10.58,57
4184215813,53.41,48
7339941196,17.54,100
6119562553,40.56,12
2028319890,47.08,62
7974167253,73.28,52
2670615363,93.04,5
2201425346,61.92,72
3920730252,37.74,25
5094987823,8.87,14
7042127522,87.97,43
4581296266,78.45,98
8477756835,20.1,72
2111133427,45.1,20
6996135717,60.36,82
4010242481,39.19,24
2329345777,2.33,94
8143434783,74.98,42
2361998870,2.1,64
